Time	LH_Ext_HC	LH_FLX_HC	
0.05	-0.05238726	-0.06014584	
0.0502	-0.05236099	-0.06014993	
0.0504	-0.05233477	-0.06015401	
0.0506	-0.05230859	-0.06015808	
0.0508	-0.05228245	-0.06016215	
0.051	-0.05225636	-0.06016622	
0.0512	-0.0522303	-0.06017029	
0.0514	-0.05220429	-0.06017434	
0.0516	-0.05217832	-0.0601784	
0.0518	-0.05215239	-0.06018245	
0.052	-0.0521265	-0.06018649	
0.0522	-0.05210065	-0.06019054	
0.0524	-0.05207483	-0.06019457	
0.0526	-0.05204906	-0.06019861	
0.0528	-0.05202332	-0.06020263	
0.053	-0.05199762	-0.06020666	
0.0532	-0.05197196	-0.06021068	
0.0534	-0.05194633	-0.06021469	
0.0536	-0.05192073	-0.0602187	
0.0538	-0.05189518	-0.06022271	
0.054	-0.05186965	-0.06022671	
0.0542	-0.05184416	-0.06023071	
0.0544	-0.05181871	-0.0602347	
0.0546	-0.05179328	-0.0602387	
0.0548	-0.05176789	-0.06024268	
0.055	-0.05174254	-0.06024667	
0.0552	-0.05171721	-0.06025065	
0.0554	-0.05169192	-0.06025463	
0.0556	-0.05166666	-0.0602586	
0.0558	-0.05164143	-0.06026258	
0.056	-0.05161623	-0.06026655	
0.0562	-0.05159106	-0.06027052	
0.0564	-0.05156593	-0.06027449	
0.0566	-0.05154083	-0.06027845	
0.0568	-0.05151575	-0.06028241	
0.057	-0.0514907	-0.06028637	
0.0572	-0.05146569	-0.06029033	
0.0574	-0.0514407	-0.06029429	
0.0576	-0.05141574	-0.06029824	
0.0578	-0.05139081	-0.0603022	
0.058	-0.05136591	-0.06030615	
0.0582	-0.05134104	-0.0603101	
0.0584	-0.0513162	-0.06031406	
0.0586	-0.05129138	-0.06031801	
0.0588	-0.0512666	-0.06032196	
0.059	-0.05124184	-0.06032591	
0.0592	-0.05121711	-0.06032986	
0.0594	-0.0511924	-0.06033381	
0.0596	-0.05116772	-0.06033776	
0.0598	-0.05114307	-0.06034172	
0.06	-0.05111845	-0.06034567	
0.0602	-0.05109386	-0.06034962	
0.0604	-0.05106929	-0.06035358	
0.0606	-0.05104475	-0.06035753	
0.0608	-0.05102023	-0.06036149	
0.061	-0.05099574	-0.06036544	
